Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.003
Numpy seed: 1835284946, Cupy seed: 1795915461
Loading datasets...
Creating network...
Training...
Train | Epoch 14.1 | Loss: 27.75, Accuracy (%): 82.6, Silent labels (%): 0.01, Time (s): 2.5
Train | Epoch 14.2 | Loss: 27.11, Accuracy (%): 83.28, Silent labels (%): 0.01, Time (s): 5.68
Train | Epoch 14.3 | Loss: 27.72, Accuracy (%): 82.39, Silent labels (%): 0.0, Time (s): 8.87
Train | Epoch 14.4 | Loss: 27.85, Accuracy (%): 82.28, Silent labels (%): 0.0, Time (s): 12.05
Train | Epoch 14.5 | Loss: 27.43, Accuracy (%): 82.61, Silent labels (%): 0.01, Time (s): 15.23
Train | Epoch 14.6 | Loss: 27.61, Accuracy (%): 82.8, Silent labels (%): 0.0, Time (s): 18.4
Train | Epoch 14.7 | Loss: 27.61, Accuracy (%): 83.25, Silent labels (%): 0.0, Time (s): 21.57
Train | Epoch 14.8 | Loss: 27.65, Accuracy (%): 82.72, Silent labels (%): 0.0, Time (s): 24.74
Train | Epoch 14.9 | Loss: 27.51, Accuracy (%): 82.6, Silent labels (%): 0.01, Time (s): 27.92
Train | Epoch 15.0 | Loss: 27.29, Accuracy (%): 82.99, Silent labels (%): 0.01, Time (s): 31.1
Test | Epoch 15.0 | Loss: 29.27, Accuracy (%): 80.72, Learning rate: 0.003, Hidden layer 1 spike counts: 546.64, Output layer spike counts: 151.19, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 720.65, Output layer weights norm: 115.91, Time (s): 2.44
Best accuracy: 80.72%, Networks save to: best_model
Train | Epoch 15.1 | Loss: 27.18, Accuracy (%): 82.77, Silent labels (%): 0.0, Time (s): 2.4
Train | Epoch 15.2 | Loss: 26.7, Accuracy (%): 83.24, Silent labels (%): 0.0, Time (s): 5.59
Train | Epoch 15.3 | Loss: 26.92, Accuracy (%): 82.71, Silent labels (%): 0.0, Time (s): 8.79
Train | Epoch 15.4 | Loss: 27.24, Accuracy (%): 82.8, Silent labels (%): 0.02, Time (s): 11.97
Train | Epoch 15.5 | Loss: 27.03, Accuracy (%): 83.03, Silent labels (%): 0.0, Time (s): 15.16
Train | Epoch 15.6 | Loss: 26.99, Accuracy (%): 83.16, Silent labels (%): 0.0, Time (s): 18.35
Train | Epoch 15.7 | Loss: 27.26, Accuracy (%): 82.5, Silent labels (%): 0.0, Time (s): 21.54
Train | Epoch 15.8 | Loss: 26.74, Accuracy (%): 83.44, Silent labels (%): 0.01, Time (s): 24.73
Train | Epoch 15.9 | Loss: 27.01, Accuracy (%): 83.17, Silent labels (%): 0.0, Time (s): 27.92
Train | Epoch 16.0 | Loss: 26.53, Accuracy (%): 83.52, Silent labels (%): 0.0, Time (s): 31.11
Test | Epoch 16.0 | Loss: 28.95, Accuracy (%): 80.89, Learning rate: 0.003, Hidden layer 1 spike counts: 539.08, Output layer spike counts: 151.14, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 747.07, Output layer weights norm: 117.86, Time (s): 2.46
Best accuracy: 80.89%, Networks save to: best_model
Train | Epoch 16.1 | Loss: 26.96, Accuracy (%): 83.0, Silent labels (%): 0.0, Time (s): 2.31
Train | Epoch 16.2 | Loss: 26.49, Accuracy (%): 83.3, Silent labels (%): 0.01, Time (s): 5.5
Train | Epoch 16.3 | Loss: 26.65, Accuracy (%): 83.8, Silent labels (%): 0.0, Time (s): 8.69
Train | Epoch 16.4 | Loss: 26.77, Accuracy (%): 83.0, Silent labels (%): 0.0, Time (s): 11.88
Train | Epoch 16.5 | Loss: 26.72, Accuracy (%): 83.23, Silent labels (%): 0.0, Time (s): 15.06
Train | Epoch 16.6 | Loss: 26.43, Accuracy (%): 83.24, Silent labels (%): 0.0, Time (s): 18.25
Train | Epoch 16.7 | Loss: 26.6, Accuracy (%): 82.86, Silent labels (%): 0.0, Time (s): 21.42
Train | Epoch 16.8 | Loss: 26.67, Accuracy (%): 83.14, Silent labels (%): 0.0, Time (s): 24.6
Train | Epoch 16.9 | Loss: 26.8, Accuracy (%): 82.91, Silent labels (%): 0.01, Time (s): 27.79
Train | Epoch 17.0 | Loss: 26.71, Accuracy (%): 82.92, Silent labels (%): 0.0, Time (s): 30.96
